Distance_(pixels),Gray_Value
0,194.136
1,193.830
2,193.798
3,194.014
4,195.272
5,197.007
6,198.363
7,198.732
8,198.786
9,198.377
10,198.212
11,198.971
12,200.575
13,202.004
14,202.924
15,202.982
16,201.660
17,200.691
18,199.854
19,200.003
20,200.860
21,201.676
22,201.915
23,201.840
24,201.218
25,200.483
26,199.845
27,199.881
28,200.611
29,201.152
30,201.214
31,201.161
32,200.906
33,200.299
34,199.602
35,199.634
36,200.125
37,200.576
38,200.763
39,200.873
40,200.536
41,199.901
42,199.235
43,199.017
44,199.444
45,200.277
46,200.873
47,201.435
48,201.427
49,200.846
50,200.118
51,199.823
52,200.047
53,200.703
54,201.376
55,201.790
56,201.809
57,201.236
58,200.537
59,200.018
60,200.021
61,200.449
62,201.155
63,201.605
64,201.829
65,201.431
66,200.856
67,200.301
68,200.054
69,200.260
70,200.780
71,201.219
72,201.624
73,201.424
74,201.011
75,200.382
76,199.941
77,200.001
78,200.567
79,201.029
80,201.642
81,201.633
82,201.443
83,200.760
84,200.038
85,199.820
86,200.333
87,200.928
88,201.795
89,201.998
90,201.971
91,201.491
92,200.783
93,200.406
94,200.656
95,201.058
96,201.922
97,202.232
98,202.657
99,202.520
100,201.958
101,201.477
102,201.392
103,201.570
104,202.422
105,203.014
106,203.568
107,203.619
108,203.222
109,202.740
110,202.564
111,202.472
112,203.235
113,203.732
114,204.312
115,204.808
116,204.741
117,204.588
118,204.156
119,203.993
120,204.174
121,204.673
122,205.303
123,206.245
124,206.755
125,206.598
126,206.128
127,205.569
128,205.445
129,205.539
130,205.894
131,206.800
132,207.600
133,208.100
134,207.800
135,207.333
136,206.738
137,206.474
138,206.498
139,207.244
140,208.213
141,208.897
142,208.811
143,208.518
144,207.964
145,207.489
146,206.982
147,207.326
148,207.794
149,208.753
150,209.102
151,209.250
152,208.829
153,208.163
154,207.351
155,206.916
156,207.156
157,207.671
158,207.946
159,208.608
160,208.710
161,208.266
162,206.660
163,205.992
164,205.283
165,205.276
166,205.535
167,206.336
168,206.933
169,207.280
170,206.129
171,205.542
172,203.866
173,203.867
174,203.666
175,204.044
176,204.340
177,205.027
178,205.382
179,205.811
180,205.051
181,204.195
182,203.020
183,202.911
184,203.333
185,204.440
186,204.936
187,205.574
188,205.256
189,204.605
190,203.708
191,203.032
192,202.698
193,203.008
194,203.277
195,204.422
196,204.783
197,205.059
198,204.137
199,203.550
200,202.710
201,202.500
202,202.474
203,203.370
204,203.816
205,204.989
206,204.855
207,204.885
208,204.474
209,203.861
210,203.149
211,203.490
212,203.719
213,204.820
214,205.397
215,206.231
216,206.300
217,205.949
218,205.450
219,204.833
220,204.637
221,204.953
222,205.597
223,206.602
224,207.295
225,207.840
226,208.023
227,207.595
228,207.085
229,206.649
230,206.763
231,207.513
232,208.165
233,209.277
234,209.879
235,210.148
236,209.769
237,209.217
238,208.952
239,208.830
240,209.190
241,210.156
242,210.772
243,212.281
244,212.559
