Distance_(pixels),Gray_Value
0,193.690
1,195.179
2,196.809
3,199.442
4,200.523
5,201.791
6,202.203
7,203.280
8,203.096
9,204.155
10,203.593
11,203.602
12,201.731
13,201.315
14,199.717
15,198.345
16,195.853
17,195.598
18,195.873
19,196.433
20,197.119
21,198.598
22,198.619
23,199.079
24,198.928
25,198.984
26,198.075
27,197.725
28,195.810
29,194.497
30,192.480
31,191.182
32,188.715
33,187.139
34,184.419
35,182.989
36,180.703
37,178.848
38,176.056
39,174.134
40,171.373
41,169.788
42,167.144
43,165.920
44,164.215
45,164.141
46,163.314
47,163.462
48,163.123
49,163.160
50,162.788
51,162.317
52,161.105
53,160.405
54,158.962
55,158.277
56,156.778
57,155.960
58,154.346
59,153.755
60,153.120
61,154.270
62,155.657
63,157.422
64,158.148
65,159.868
66,160.373
67,161.615
68,162.152
69,163.415
70,163.892
71,165.076
72,164.486
73,164.939
74,163.893
75,163.337
76,162.257
77,163.616
78,164.848
79,167.119
80,168.596
81,170.005
82,170.304
83,170.705
84,170.798
85,170.748
86,169.852
87,169.243
88,167.797
89,167.155
90,165.183
91,164.027
92,161.449
93,160.905
94,159.707
95,159.585
96,158.991
97,158.897
98,157.965
99,157.665
100,156.530
101,155.876
102,154.302
103,153.097
104,151.411
105,150.194
106,148.014
107,146.349
108,142.993
109,141.100
110,138.948
111,137.289
112,135.346
113,133.760
114,131.550
115,130.278
116,128.464
117,127.052
118,125.540
119,124.008
120,122.299
121,121.354
122,120.361
123,120.142
124,120.905
125,122.269
126,124.117
127,125.965
128,128.337
129,131.182
130,133.217
131,134.863
132,136.426
133,137.681
134,139.004
135,140.158
136,141.578
137,142.333
138,143.073
139,143.765
140,144.071
141,144.556
142,144.934
143,145.439
144,145.141
145,144.977
146,143.667
147,143.590
148,142.483
149,143.505
150,144.478
151,145.930
152,146.759
153,147.658
154,147.920
155,147.830
156,146.383
157,145.596
158,144.037
159,142.177
160,140.070
161,138.470
162,136.561
163,134.621
164,132.524
165,131.086
166,129.515
167,128.165
168,127.158
169,126.215
170,125.049
171,124.185
172,122.817
173,122.067
174,121.337
175,120.187
176,118.994
177,117.703
178,116.056
179,114.835
180,113.436
181,111.569
182,109.705
183,107.597
184,105.992
185,105.430
186,106.385
187,106.545
188,106.910
189,107.890
190,109.678
191,110.881
192,112.370
193,113.804
194,115.276
195,116.493
196,117.864
197,118.607
198,119.507
199,120.305
200,123.114
201,125.608
202,128.769
203,129.893
204,132.184
205,133.705
206,134.173
207,134.163
208,133.919
209,133.283
210,131.553
211,130.214
212,129.256
213,127.246
214,125.992
215,126.233
216,128.019
217,128.801
218,128.915
219,128.961
220,128.662
221,127.916
222,126.824
223,125.688
224,124.169
225,122.830
226,121.243
227,119.752
228,117.175
229,115.591
230,114.819
231,114.109
232,114.164
233,113.424
234,112.440
235,111.336
236,109.802
237,108.663
238,107.858
239,106.153
240,104.173
241,102.669
242,101.214
243,99.838
244,98.544
245,97.128
246,94.934
247,93.652
248,93.383
249,94.431
250,94.832
251,94.819
252,95.266
253,95.904
254,96.787
255,97.665
256,98.943
257,99.865
258,100.973
259,101.912
260,103.445
261,103.995
262,106.167
263,109.411
264,112.469
265,114.033
266,115.940
267,117.513
268,119.109
269,119.595
270,119.814
271,119.277
272,118.629
273,118.227
274,116.885
275,116.553
276,116.591
277,118.295
278,119.984
279,120.505
280,121.377
281,122.180
282,122.342
283,121.838
284,120.938
285,120.396
286,119.912
287,118.487
288,115.804
289,115.274
290,115.183
291,115.475
292,116.038
293,115.290
294,114.109
295,112.721
296,111.400
297,109.819
298,107.529
299,105.191
300,101.772
301,99.407
302,97.220
303,94.656
304,92.164
305,89.004
306,86.586
307,84.985
308,83.488
309,83.267
310,83.708
311,83.856
312,84.347
313,84.893
314,85.494
315,86.164
316,87.082
317,87.773
318,89.050
319,88.507
320,88.490
321,90.006
322,92.865
323,95.461
324,97.706
325,99.213
326,101.436
327,102.812
328,103.992
329,105.225
330,106.415
331,107.079
332,107.694
333,107.931
334,109.160
335,111.160
336,113.570
337,114.502
338,115.561
339,115.985
340,116.026
341,115.291
342,114.183
343,113.094
344,112.257
345,110.628
346,108.853
347,108.932
348,109.277
349,109.683
350,109.292
351,107.872
352,106.450
353,104.687
354,102.304
355,100.274
356,98.138
357,96.011
358,93.958
359,92.349
360,91.700
361,91.427
362,91.558
363,90.882
364,89.833
365,88.580
366,87.593
367,86.026
368,84.367
369,83.120
370,81.442
371,80.323
372,80.626
373,80.181
374,79.715
375,78.954
376,78.800
377,79.389
378,80.580
379,81.081
380,81.602
381,82.243
382,83.576
383,84.440
384,85.265
385,86.016
386,86.994
387,86.838
388,87.295
389,88.769
390,91.572
391,94.235
392,96.094
393,97.341
394,98.594
395,99.188
396,99.699
397,99.695
398,100.190
399,99.918
400,99.769
401,100.914
402,102.836
403,104.604
404,106.153
405,106.515
406,106.963
407,106.760
408,106.479
409,105.862
410,104.558
411,103.453
412,100.948
413,99.641
414,98.839
415,98.120
416,97.523
417,95.679
418,93.528
419,91.785
420,89.562
421,87.188
422,84.746
423,81.696
424,78.805
425,77.182
426,76.274
427,75.841
428,75.937
429,75.307
430,74.864
431,74.207
432,73.424
433,72.124
434,70.997
435,70.214
436,69.353
437,68.720
438,68.701
439,68.742
440,69.502
441,69.949
442,70.581
443,71.216
444,72.296
445,72.349
446,73.252
447,73.778
448,74.513
