Distance_(pixels),Gray_Value
0,10.13519
1,10.13025
2,10.10154
3,10.07963
4,10.04568
5,9.93272
6,9.90309
7,9.84691
8,9.82284
9,9.73611
10,9.72130
11,9.71759
12,9.69753
13,9.71142
14,9.70123
15,9.74074
16,9.72006
17,9.81914
18,9.79877
19,9.80617
20,9.79475
21,9.78025
22,9.77191
23,9.79352
24,9.78827
25,9.75432
26,9.75741
27,9.77623
28,9.77407
29,9.81944
30,9.81173
31,9.85679
32,9.85432
33,10.07284
34,10.06944
35,10.01235
36,9.97716
37,9.94599
38,9.90988
39,9.92685
40,9.90556
41,9.82500
42,9.81019
43,9.77870
44,9.75432
45,9.74753
46,9.76142
47,9.76327
48,9.76451
49,9.83982
50,9.84599
51,9.85463
52,9.85278
53,9.86914
54,9.84753
55,9.85772
56,9.85988
57,9.82191
58,9.80772
59,9.76451
60,9.74969
61,9.74198
62,9.72685
63,9.72716
64,9.67469
65,9.69877
66,9.62716
67,9.59475
68,9.56142
69,9.55123
70,9.54043
71,9.50062
72,9.49568
73,9.51975
74,9.49753
75,9.53518
76,9.52623
77,9.54753
78,9.52932
79,9.56852
80,9.54414
81,9.53333
82,9.50031
83,9.43858
84,9.43025
85,9.38241
86,9.34722
87,9.31790
88,9.30185
89,9.35710
90,9.34877
91,9.38272
92,9.36512
93,9.47593
94,9.48488
95,9.53241
96,9.50617
97,9.45617
98,9.41667
99,9.39383
100,9.37870
101,9.37377
102,9.35679
103,9.38673
104,9.37778
105,9.39352
106,9.37500
107,9.40772
108,9.39630
109,9.45123
110,9.43735
111,9.45617
112,9.42994
113,9.59938
114,9.58580
115,9.55093
116,9.52006
117,9.42963
118,9.39938
119,9.38642
120,9.37963
121,9.33519
122,9.32994
123,9.36636
124,9.36605
125,9.37068
126,9.36512
127,9.41142
128,9.42006
129,9.49444
130,9.46759
131,9.42315
132,9.38333
133,9.35957
134,9.32130
135,9.26543
136,9.24537
137,9.24198
138,9.23951
139,9.22840
140,9.22654
141,9.28056
142,9.26821
143,9.33488
144,9.28704
145,9.42531
146,9.39290
147,9.39877
148,9.34228
149,9.38858
150,9.37870
151,9.52623
152,9.53765
153,9.49722
154,9.47994
155,9.50154
156,9.48179
157,9.47099
158,9.42284
159,9.44290
160,9.41944
161,9.43920
162,9.38920
163,9.40093
164,9.36728
165,9.36574
166,9.32377
167,9.29105
168,9.27870
169,9.27685
170,9.24414
171,9.24630
172,9.23796
173,9.23302
174,9.24352
175,9.23920
176,9.19815
177,9.25309
178,9.23086
179,9.24660
180,9.24414
181,9.25648
182,9.24691
183,9.26204
184,9.25864
185,9.26327
186,9.25556
187,9.24228
188,9.23549
189,9.22809
190,9.22500
191,9.21111
192,9.17963
193,9.32593
194,9.28920
195,9.31481
196,9.29753
197,9.27469
198,9.25124
199,9.28889
200,9.29599
201,9.36327
202,9.36543
203,9.38580
204,9.36883
205,9.40926
206,9.39537
207,9.39475
208,9.35154
209,9.28673
210,9.24383
211,9.29352
212,9.26019
213,9.25617
214,9.26049
215,9.31759
216,9.31451
217,9.42654
218,9.41111
219,9.47377
220,9.43025
221,9.46883
222,9.48889
223,9.48179
224,9.41914
225,9.48241
226,9.40556
227,9.38642
228,9.32407
229,9.27716
230,9.26173
231,9.24537
232,9.23426
233,9.24691
234,9.23796
235,9.29722
236,9.27438
237,9.37253
238,9.39352
239,9.41235
240,9.40339
241,9.51605
242,9.51883
243,9.54383
244,9.52346
245,9.52130
246,9.54815
247,9.55278
248,9.55556
249,9.53364
250,9.50988
251,9.58364
252,9.57716
253,9.60617
254,9.60123
255,9.62932
256,9.61667
257,9.77685
258,9.75679
259,9.78580
260,9.75679
261,9.77160
262,9.72685
263,9.74537
264,9.73457
265,9.73426
266,9.71111
267,9.69259
268,9.66420
269,9.64414
270,9.62099
271,9.61574
272,9.56049
273,9.59352
274,9.53272
275,9.54414
276,9.50494
277,9.50093
278,9.48457
279,9.46574
280,9.45370
281,9.49105
282,9.47469
283,9.52315
284,9.49630
285,9.57160
286,9.56389
287,9.57438
288,9.51852
289,9.62716
290,9.58086
291,9.55556
292,9.54136
293,9.49938
294,9.50370
295,9.53025
296,9.50370
297,9.58580
298,9.59198
299,9.65741
300,9.64660
301,9.66574
302,9.66296
303,9.71482
304,9.68179
305,9.63179
306,9.59907
307,9.61821
308,9.60185
309,9.62469
310,9.61173
311,9.65154
312,9.64012
313,9.65185
314,9.62654
315,9.61914
316,9.59691
317,9.60864
318,9.59846
319,9.60710
320,9.52407
321,9.42068
322,9.34846
323,9.35772
324,9.33858
325,9.34105
326,9.34691
327,9.36111
328,9.34537
329,9.47284
330,9.47099
331,9.56080
332,9.55648
333,9.64969
334,9.63704
335,9.66451
336,9.63303
337,9.78673
338,9.74691
339,9.74321
340,9.71790
341,9.70432
342,9.68179
343,9.69198
344,9.67006
345,9.63981
346,9.62716
347,9.66605
348,9.66759
349,9.69846
350,9.67191
351,9.70278
352,9.69074
353,9.76358
354,9.72901
355,9.76235
356,9.74167
357,9.75556
358,9.75401
